Cnr,images/go.png,0,,,,,,,,,,,,,
Prp,images/r1.png,1,,60,50,50,2,4,0,10,30,90,160,0,250
Crd,images/cc.png,2,,,,,,,,,,,,,
Prp,images/r2.png,3,,60,50,50,4,8,0,20,60,180,320,0,450
Pay,images/civvies.png,4,0,,,,200,,,,,,,,
Pub,images/office.png,5,,200,,,25*,,,,,,,,
Prp,images/f1.png,6,,100,50,50,6,12,0,30,90,270,400,0,550
Crd,images/c.png,7,,,,,,,,,,,,,
Prp,images/f2.png,8,,100,50,50,6,12,0,30,90,270,400,0,550
Prp,images/f3.png,9,,120,50,50,8,16,0,40,100,300,450,0,600
Cnr,images/detentionvisit.png,10,,,,,,,,,,,,,
Prp,images/e1.png,11,,140,100,100,10,20,0,50,150,450,625,0,750
Utl,images/wifi.png,12,0,150,,,4 or 10*,,,,,,,,
Prp,images/e2.png,13,,140,100,100,10,20,0,50,150,450,625,0,750
Prp,images/e3.png,14,,160,100,100,12,24,0,60,180,500,700,0,900
Pub,images/library.png,15,,200,,,25*,,,,,,,,
Prp,images/b1.png,16,,180,100,100,14,28,0,70,200,550,750,0,950
Crd,images/cc2.png,17,,,,,,,,,,,,,
Prp,images/b2.png,18,,180,100,100,14,28,0,70,200,550,750,0,950
Prp,images/b3.png,19,,200,100,100,16,32,0,80,220,600,800,0,1000
Cnr,images/fieldtrip.png,20,,,,,,,,,,,,,
Prp,images/a1.png,21,,220,150,150,18,36,0,90,250,700,875,0,1050
Crd,images/c2.png,22,,,,,,,,,,,,,
Prp,images/a2.png,23,,220,150,150,18,36,0,90,250,700,875,0,1050
Prp,images/a3.png,24,,240,150,150,20,40,0,100,300,750,925,0,1100
Pub,images/caf.png,25,,200,,,25*,,,,,,,,
Prp,images/m1.png,26,,260,150,150,22,44,0,110,330,800,975,0,1150
Prp,images/m2.png,27,,260,150,150,22,44,0,110,330,800,975,0,1150
Utl,images/chromebook.png,28,,150,,,4 or 10*,,,,,,,,
Prp,images/m3.png,29,,280,150,150,24,48,0,120,360,850,1025,0,1200
Cnr,images/detention.png,30,,,,,,,,,,,,,
Prp,images/s1.png,31,,300,200,200,26,52,0,130,390,900,1100,0,1275
Prp,images/s2.png,32,,300,200,200,26,52,0,130,390,900,1100,0,1275
Crd,images/cc3.png,33,,,,,,,,,,,,,
Prp,images/s3.png,34,,320,200,200,28,56,0,150,450,1000,1200,0,1400
Pub,images/gym.png,35,,200,,,25*,,,,,,,,
Crd,images/c3.png,36,,,,,,,,,,,,,
Prp,images/t1.png,37,,350,200,200,35,70,0,175,500,1100,1300,0,1500
Pay,images/yearbook.png,38,0,,,,100,,,,,,,,
Prp,images/t2.png,39,,400,200,200,50,100,0,200,600,1400,1700,0,2000